days online,duration,tags in title,title length,description length,tag count,comment count/days online,times viewed/days online,title emoji count,description emoji count,VADER sentiment,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,December,June,October,January,February,March,April,May,July,August,September,November,times liked
1076,285.0,1,49,1166,20,0.23977695167286245,91.50557620817844,0,41,-0.3058,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,3862
1083,583.0,1,49,1248,19,0.04709141274238227,1.6869806094182827,3,32,0.5349,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,138
1090,530.0,1,18,1226,23,0.04036697247706422,12.869724770642202,0,32,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,592
1093,475.0,0,24,1168,14,0.07502287282708142,7.479414455626715,1,30,0.4871,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,485
1097,497.0,6,31,1208,20,0.014585232452142206,2.861440291704649,0,31,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,170
1105,328.0,1,41,1106,19,0.13846153846153847,35.290497737556564,3,36,-0.7622,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,2043
1111,495.0,1,33,1137,17,0.09720972097209721,15.886588658865886,0,31,0.594,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1268
1121,16.0,5,53,1107,21,0.06155218554861731,8.76092774308653,1,39,0.8249,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,549
1125,489.0,3,30,979,18,0.029333333333333333,3.7813333333333334,0,27,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,254
1129,26.0,3,51,1214,26,0.015943312666076175,1.0026572187776794,2,32,0.7323,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,77
1132,475.0,4,53,1111,26,0.014134275618374558,1.3454063604240283,0,32,0.8044,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,103
1136,481.0,3,40,1097,23,0.19806338028169015,27.871478873239436,0,37,-0.7815,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1792
1140,376.0,3,25,978,19,0.24649122807017543,38.719298245614034,0,27,0.7393,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,2075
1146,41.0,4,55,1010,19,0.02617801047120419,1.943280977312391,1,29,0.3907,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,175
1149,2365.0,2,81,962,12,0.04612706701479547,3.7624020887728458,0,29,-0.3527,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,283
1156,372.0,2,26,906,22,0.21626297577854672,20.275951557093425,0,27,0.4871,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1711
1160,475.0,1,37,958,25,0.01896551724137931,1.2543103448275863,0,28,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,112
1170,434.0,1,21,1130,20,0.0,2.960683760683761,0,39,0.9219,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,216
1173,10.0,4,35,956,18,0.014492753623188406,1.434782608695652,1,29,0.6189,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,116
1181,15.0,4,51,993,22,0.0279424216765453,4.176121930567316,0,30,0.8156,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,226
1188,15.0,4,20,1161,28,0.018518518518518517,5.145622895622895,0,32,0.9514,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,188
1191,456.0,3,24,905,24,0.6842989084802686,78.1217464315701,0,28,0.5349,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,4872
1195,366.0,3,43,944,20,0.023430962343096235,5.101255230125523,0,27,0.7059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,387
1198,497.0,4,41,1036,23,0.1001669449081803,18.57762938230384,0,29,0.5803,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1372
1202,56.0,5,31,866,27,0.008319467554076539,1.2579034941763727,0,27,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,68
1209,493.0,1,39,1007,14,0.0,21.463192721257236,0,30,0.5349,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1955
1212,415.0,3,30,1012,23,0.23102310231023102,58.12953795379538,0,30,0.5362,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,3373
